uri,kind,size_bytes,dtype,shape,retention,confidentiality,source_system,family,workflow_seat,source_abspath,note
stimuli/mosart/tables/README.md,other,7180,,,pinned,exam_restricted,local-fs,stimuli-mosart,n/a - ADR-0023 MCQ family stays in PG,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART\mosart_tables\README.md,"6 normalized tables CSV+parquet: documents 16, questions 360x30, question_options 1800, misconceptions 174, misconception_statements 125, question_misconception_links 60 -> mcq_items/mcq_options/stimulus_structures"
stimuli/mosart/tables/documents.csv,other,1043,,,pinned,exam_restricted,local-fs,stimuli-mosart,n/a - ADR-0023 MCQ family stays in PG,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART\mosart_tables\documents.csv,"6 normalized tables CSV+parquet: documents 16, questions 360x30, question_options 1800, misconceptions 174, misconception_statements 125, question_misconception_links 60 -> mcq_items/mcq_options/stimulus_structures"
stimuli/mosart/tables/documents.parquet,other,4596,,,pinned,exam_restricted,local-fs,stimuli-mosart,n/a - ADR-0023 MCQ family stays in PG,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART\mosart_tables\documents.parquet,"6 normalized tables CSV+parquet: documents 16, questions 360x30, question_options 1800, misconceptions 174, misconception_statements 125, question_misconception_links 60 -> mcq_items/mcq_options/stimulus_structures"
stimuli/mosart/tables/load.py,other,1848,,,pinned,exam_restricted,local-fs,stimuli-mosart,n/a - ADR-0023 MCQ family stays in PG,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART\mosart_tables\load.py,"6 normalized tables CSV+parquet: documents 16, questions 360x30, question_options 1800, misconceptions 174, misconception_statements 125, question_misconception_links 60 -> mcq_items/mcq_options/stimulus_structures"
stimuli/mosart/tables/misconception_statements.csv,other,14937,,,pinned,exam_restricted,local-fs,stimuli-mosart,n/a - ADR-0023 MCQ family stays in PG,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART\mosart_tables\misconception_statements.csv,"6 normalized tables CSV+parquet: documents 16, questions 360x30, question_options 1800, misconceptions 174, misconception_statements 125, question_misconception_links 60 -> mcq_items/mcq_options/stimulus_structures"
stimuli/mosart/tables/misconception_statements.parquet,other,10027,,,pinned,exam_restricted,local-fs,stimuli-mosart,n/a - ADR-0023 MCQ family stays in PG,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART\mosart_tables\misconception_statements.parquet,"6 normalized tables CSV+parquet: documents 16, questions 360x30, question_options 1800, misconceptions 174, misconception_statements 125, question_misconception_links 60 -> mcq_items/mcq_options/stimulus_structures"
stimuli/mosart/tables/misconceptions.csv,other,29058,,,pinned,exam_restricted,local-fs,stimuli-mosart,n/a - ADR-0023 MCQ family stays in PG,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART\mosart_tables\misconceptions.csv,"6 normalized tables CSV+parquet: documents 16, questions 360x30, question_options 1800, misconceptions 174, misconception_statements 125, question_misconception_links 60 -> mcq_items/mcq_options/stimulus_structures"
stimuli/mosart/tables/misconceptions.parquet,other,14417,,,pinned,exam_restricted,local-fs,stimuli-mosart,n/a - ADR-0023 MCQ family stays in PG,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART\mosart_tables\misconceptions.parquet,"6 normalized tables CSV+parquet: documents 16, questions 360x30, question_options 1800, misconceptions 174, misconception_statements 125, question_misconception_links 60 -> mcq_items/mcq_options/stimulus_structures"
stimuli/mosart/tables/question_misconception_links.csv,other,2811,,,pinned,exam_restricted,local-fs,stimuli-mosart,n/a - ADR-0023 MCQ family stays in PG,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART\mosart_tables\question_misconception_links.csv,"6 normalized tables CSV+parquet: documents 16, questions 360x30, question_options 1800, misconceptions 174, misconception_statements 125, question_misconception_links 60 -> mcq_items/mcq_options/stimulus_structures"
stimuli/mosart/tables/question_misconception_links.parquet,other,3841,,,pinned,exam_restricted,local-fs,stimuli-mosart,n/a - ADR-0023 MCQ family stays in PG,C:\Users\spenc\OneDrive\Documents\Claude\Projects\MOSART\mosart_tables\question_misconception_links.parquet,"6 normalized tables CSV+parquet: documents 16, questions 360x30, question_options 1800, misconceptions 174, misconception_statements 125, question_misconception_links 60 -> mcq_items/mcq_options/stimulus_structures"
