uri,kind,size_bytes,dtype,shape,retention,confidentiality,source_system,family,workflow_seat,source_abspath,note
map6197/lakehouse/MAP6197_lakehouse_landing_v1.zip,export,97457672,,,keep_forever,open,local-fs,map6197-lakehouse,none,C:\Users\spenc\Downloads\MAP6197_lakehouse_landing_v1.zip,"Sol silver package v1.0.0, validated 2026-08-06, 152 entries, 13 silver datasets / 164,419 rows. ZIP is ONE artifact; extract silver/ for the 13 parquets to become individually registrable lake objects."
map6197/lectures/MFDL_MAP6197_L10_AnalysisSGD_AutomaticDiff.pdf,other,13946621,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L10_AnalysisSGD_AutomaticDiff.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; ALSO in zip bronze/lectures (L10); course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L11_RMADvsFMAD.pdf,other,12794952,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L11_RMADvsFMAD.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; RECOVERS a lecture the zip lacks (L11) -- part of Sol’s declared 16-file gap; course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L12_Initialization.pdf,other,29738740,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L12_Initialization.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; RECOVERS a lecture the zip lacks (L12) -- part of Sol’s declared 16-file gap; course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L13_ConvolutionalNeuralNetworks.pdf,other,3443297,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L13_ConvolutionalNeuralNetworks.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; ALSO in zip bronze/lectures (L13); course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L14_Normalization_ModernCNNs-2.pdf,other,14213921,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L14_Normalization_ModernCNNs-2.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; RECOVERS a lecture the zip lacks (L14) -- part of Sol’s declared 16-file gap; course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L15_UnderstandingNormalization-1.pdf,other,17454358,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L15_UnderstandingNormalization-1.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; RECOVERS a lecture the zip lacks (L15) -- part of Sol’s declared 16-file gap; course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L16_MidtermReview-1.pdf,other,10582543,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L16_MidtermReview-1.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; ALSO in zip bronze/lectures (L16); course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L17_AttentionTransformers.pdf,other,11593485,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L17_AttentionTransformers.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; RECOVERS a lecture the zip lacks (L17) -- part of Sol’s declared 16-file gap; course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L18_AcceleratedAdaptiveGradient.pdf,other,12022849,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L18_AcceleratedAdaptiveGradient.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; RECOVERS a lecture the zip lacks (L18) -- part of Sol’s declared 16-file gap; course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L19_WeightDecay_RNNs.pdf,other,21861572,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L19_WeightDecay_RNNs.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; RECOVERS a lecture the zip lacks (L19) -- part of Sol’s declared 16-file gap; course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L1_Intro.pdf,other,1929620,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L1_Intro.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; ALSO in zip bronze/lectures (L1); course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L20_Sharpness.pdf,other,3398685,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L20_Sharpness.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; RECOVERS a lecture the zip lacks (L20) -- part of Sol’s declared 16-file gap; course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L21_NeuralTangentKernel.pdf,other,8524078,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L21_NeuralTangentKernel.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; RECOVERS a lecture the zip lacks (L21) -- part of Sol’s declared 16-file gap; course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L22_MaximalUpdateParametrization.pdf,other,6626775,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L22_MaximalUpdateParametrization.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; RECOVERS a lecture the zip lacks (L22) -- part of Sol’s declared 16-file gap; course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L23_StructuredStateSpaceModels.pdf,other,14862285,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L23_StructuredStateSpaceModels.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; RECOVERS a lecture the zip lacks (L23) -- part of Sol’s declared 16-file gap; course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L24_SecondOrderOptimization.pdf,other,10067490,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L24_SecondOrderOptimization.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; RECOVERS a lecture the zip lacks (L24) -- part of Sol’s declared 16-file gap; course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L24_SecondOrderOptimization_GrosseSlides.pdf,other,5683244,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L24_SecondOrderOptimization_GrosseSlides.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; RECOVERS a lecture the zip lacks (L24) -- part of Sol’s declared 16-file gap; course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L2_LearningTheory.pdf,other,7137493,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L2_LearningTheory.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; ALSO in zip bronze/lectures (L2); course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L3_LinearRegressionGradientDescent.pdf,other,14105925,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L3_LinearRegressionGradientDescent.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; RECOVERS a lecture the zip lacks (L3) -- part of Sol’s declared 16-file gap; course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L4_DynamicsGD_NeuralNetworks-1.pdf,other,15632742,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L4_DynamicsGD_NeuralNetworks-1.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; ALSO in zip bronze/lectures (L4); course material, no redistribution licence"
map6197/lectures/MFDL_MAP6197_L5_NeuralNetworksRegularization.pdf,other,11891457,,,pinned,exam_restricted,local-fs,map6197-lectures,none,C:\Users\spenc\Downloads\MAP6197\MFDL_MAP6197_L5_NeuralNetworksRegularization.pdf,"intact: %PDF- header + %%EOF verified 2026-08-08; RECOVERS a lecture the zip lacks (L5) -- part of Sol’s declared 16-file gap; course material, no redistribution licence"
