uri,kind,size_bytes,dtype,shape,retention,confidentiality,source_system,family,workflow_seat,source_abspath,note
mi/vastai/turned-in-json/all_model_comparisons.json,export,1226074,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,1-logprob/2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\notebooks\TurnedInJson\all_model_comparisons.json,"SOURCE of Sol bronze all_model_comparisons.json; logprobs_merged.jsonl 25.3MB is a strong candidate for the ""raw 4,000 NLL records"" Sol reported unavailable"
mi/vastai/turned-in-json/logprobs_merged.jsonl,export,25317417,,,keep_forever,open,local-fs,mi-base-vs-sft-divergence,1-logprob/2-logit-lens,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\notebooks\TurnedInJson\logprobs_merged.jsonl,"SOURCE of Sol bronze all_model_comparisons.json; logprobs_merged.jsonl 25.3MB is a strong candidate for the ""raw 4,000 NLL records"" Sol reported unavailable"
mi/vastai/generated-prompts/physics_A_prompts.txt,other,154402,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\notebooks\generated_prompts\physics_A_prompts.txt,physics_A/B + prod prompt sets at full/tok100/tok50 lengths
mi/vastai/generated-prompts/physics_B_prompts.txt,other,138082,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\notebooks\generated_prompts\physics_B_prompts.txt,physics_A/B + prod prompt sets at full/tok100/tok50 lengths
mi/vastai/generated-prompts/prod_prompts_full.txt,other,4341,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\notebooks\generated_prompts\prod_prompts_full.txt,physics_A/B + prod prompt sets at full/tok100/tok50 lengths
mi/vastai/generated-prompts/prod_prompts_tok100.txt,other,2119,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\notebooks\generated_prompts\prod_prompts_tok100.txt,physics_A/B + prod prompt sets at full/tok100/tok50 lengths
mi/vastai/generated-prompts/prod_prompts_tok50.txt,other,1079,,,keep_forever,open,local-fs,mi-perplexity-nll,1-logprob,C:\Users\spenc\Cursor Repos\vastai-ssh-jupyter-pytorch\notebooks\generated_prompts\prod_prompts_tok50.txt,physics_A/B + prod prompt sets at full/tok100/tok50 lengths
map6197/final-report/AB_CumulativeNLL.ipynb,other,1998478,,,keep_forever,exam_restricted,local-fs,map6197-course,none,C:\Users\spenc\Downloads\Final_Report_MAP6197_SpencerMoore\AB_CumulativeNLL.ipynb,MAP6197 final report source; holds AB_CumulativeNLL.ipynb + generate_rank_analysis.py = SOURCE of Sol bronze copies
map6197/final-report/NLLPlots.png,other,3535594,,,keep_forever,exam_restricted,local-fs,map6197-course,none,C:\Users\spenc\Downloads\Final_Report_MAP6197_SpencerMoore\NLLPlots.png,MAP6197 final report source; holds AB_CumulativeNLL.ipynb + generate_rank_analysis.py = SOURCE of Sol bronze copies
map6197/final-report/advanced_rank_analysis.png,other,859711,,,keep_forever,exam_restricted,local-fs,map6197-course,none,C:\Users\spenc\Downloads\Final_Report_MAP6197_SpencerMoore\advanced_rank_analysis.png,MAP6197 final report source; holds AB_CumulativeNLL.ipynb + generate_rank_analysis.py = SOURCE of Sol bronze copies
map6197/final-report/generate_rank_analysis.py,other,8038,,,keep_forever,exam_restricted,local-fs,map6197-course,none,C:\Users\spenc\Downloads\Final_Report_MAP6197_SpencerMoore\generate_rank_analysis.py,MAP6197 final report source; holds AB_CumulativeNLL.ipynb + generate_rank_analysis.py = SOURCE of Sol bronze copies
map6197/final-report/jmlrutils.sty,other,15804,,,keep_forever,exam_restricted,local-fs,map6197-course,none,C:\Users\spenc\Downloads\Final_Report_MAP6197_SpencerMoore\jmlrutils.sty,MAP6197 final report source; holds AB_CumulativeNLL.ipynb + generate_rank_analysis.py = SOURCE of Sol bronze copies
map6197/final-report/main.tex,other,25916,,,keep_forever,exam_restricted,local-fs,map6197-course,none,C:\Users\spenc\Downloads\Final_Report_MAP6197_SpencerMoore\main.tex,MAP6197 final report source; holds AB_CumulativeNLL.ipynb + generate_rank_analysis.py = SOURCE of Sol bronze copies
map6197/final-report/map6197_finalreport.cls,other,1076,,,keep_forever,exam_restricted,local-fs,map6197-course,none,C:\Users\spenc\Downloads\Final_Report_MAP6197_SpencerMoore\map6197_finalreport.cls,MAP6197 final report source; holds AB_CumulativeNLL.ipynb + generate_rank_analysis.py = SOURCE of Sol bronze copies
map6197/final-report/rank_analysis_with_aggregate.png,other,1747136,,,keep_forever,exam_restricted,local-fs,map6197-course,none,C:\Users\spenc\Downloads\Final_Report_MAP6197_SpencerMoore\rank_analysis_with_aggregate.png,MAP6197 final report source; holds AB_CumulativeNLL.ipynb + generate_rank_analysis.py = SOURCE of Sol bronze copies
map6197/final-report/sample.bib,other,8526,,,keep_forever,exam_restricted,local-fs,map6197-course,none,C:\Users\spenc\Downloads\Final_Report_MAP6197_SpencerMoore\sample.bib,MAP6197 final report source; holds AB_CumulativeNLL.ipynb + generate_rank_analysis.py = SOURCE of Sol bronze copies
