uri,kind,size_bytes,dtype,shape,retention,confidentiality,source_system,family,workflow_seat,source_abspath,note
stimuli/mosart-logprob/jobs_NEWER/CONTINUATION_MOSART_LOGPROB.md,other,9934,,,pinned,exam_restricted,local-fs,stimuli-mosart-logprob-159,1-logprob,C:\Users\spenc\Downloads\jobs_NEWER\CONTINUATION_MOSART_LOGPROB.md,"the 159-model / 47-pair EXPANDED corpus; master_long.csv = 495,625 rows / 462,005 usable"
stimuli/mosart-logprob/jobs_NEWER/README.md,other,2617,,,pinned,exam_restricted,local-fs,stimuli-mosart-logprob-159,1-logprob,C:\Users\spenc\Downloads\jobs_NEWER\README.md,"the 159-model / 47-pair EXPANDED corpus; master_long.csv = 495,625 rows / 462,005 usable"
stimuli/mosart-logprob/jobs_NEWER/configs/batch_A_logprob.yaml,other,250440,,,pinned,exam_restricted,local-fs,stimuli-mosart-logprob-159,1-logprob,C:\Users\spenc\Downloads\jobs_NEWER\configs\batch_A_logprob.yaml,"the 159-model / 47-pair EXPANDED corpus; master_long.csv = 495,625 rows / 462,005 usable"
stimuli/mosart-logprob/jobs_NEWER/configs/batch_B_inference.yaml,other,77960,,,pinned,exam_restricted,local-fs,stimuli-mosart-logprob-159,1-logprob,C:\Users\spenc\Downloads\jobs_NEWER\configs\batch_B_inference.yaml,"the 159-model / 47-pair EXPANDED corpus; master_long.csv = 495,625 rows / 462,005 usable"
stimuli/mosart-logprob/jobs_NEWER/configs/batch_C_logprob.yaml,other,283456,,,pinned,exam_restricted,local-fs,stimuli-mosart-logprob-159,1-logprob,C:\Users\spenc\Downloads\jobs_NEWER\configs\batch_C_logprob.yaml,"the 159-model / 47-pair EXPANDED corpus; master_long.csv = 495,625 rows / 462,005 usable"
stimuli/mosart-logprob/jobs_NEWER/configs/batch_D_inference.yaml,other,114863,,,pinned,exam_restricted,local-fs,stimuli-mosart-logprob-159,1-logprob,C:\Users\spenc\Downloads\jobs_NEWER\configs\batch_D_inference.yaml,"the 159-model / 47-pair EXPANDED corpus; master_long.csv = 495,625 rows / 462,005 usable"
stimuli/mosart-logprob/jobs_NEWER/onboarding/batchC_inf_only10_midterm2.csv,wire_payload,3144,,,pinned,exam_restricted,local-fs,stimuli-mosart-logprob-159,1-logprob,C:\Users\spenc\Downloads\jobs_NEWER\onboarding\batchC_inf_only10_midterm2.csv,"the 159-model / 47-pair EXPANDED corpus; master_long.csv = 495,625 rows / 462,005 usable"
stimuli/mosart-logprob/jobs_NEWER/onboarding/reference_rows_16_25.py,other,924,,,pinned,exam_restricted,local-fs,stimuli-mosart-logprob-159,1-logprob,C:\Users\spenc\Downloads\jobs_NEWER\onboarding\reference_rows_16_25.py,"the 159-model / 47-pair EXPANDED corpus; master_long.csv = 495,625 rows / 462,005 usable"
stimuli/mosart-logprob/jobs_NEWER/outputs/_clustercoh_perfamily.csv,wire_payload,1057,,,pinned,exam_restricted,local-fs,stimuli-mosart-logprob-159,1-logprob,C:\Users\spenc\Downloads\jobs_NEWER\outputs\_clustercoh_perfamily.csv,"the 159-model / 47-pair EXPANDED corpus; master_long.csv = 495,625 rows / 462,005 usable"
stimuli/mosart-logprob/jobs_NEWER/outputs/_withinmodel_permethod.csv,wire_payload,36197,,,pinned,exam_restricted,local-fs,stimuli-mosart-logprob-159,1-logprob,C:\Users\spenc\Downloads\jobs_NEWER\outputs\_withinmodel_permethod.csv,"the 159-model / 47-pair EXPANDED corpus; master_long.csv = 495,625 rows / 462,005 usable"
stimuli/mosart-logprob/jobs_NEWER/outputs/all_rows_union25.csv,wire_payload,59961137,,,pinned,exam_restricted,local-fs,stimuli-mosart-logprob-159,1-logprob,C:\Users\spenc\Downloads\jobs_NEWER\outputs\all_rows_union25.csv,"the 159-model / 47-pair EXPANDED corpus; master_long.csv = 495,625 rows / 462,005 usable"
stimuli/mosart-logprob/jobs_NEWER/outputs/all_rows_union25.csv.bak,other,28736629,,,pinned,exam_restricted,local-fs,stimuli-mosart-logprob-159,1-logprob,C:\Users\spenc\Downloads\jobs_NEWER\outputs\all_rows_union25.csv.bak,"the 159-model / 47-pair EXPANDED corpus; master_long.csv = 495,625 rows / 462,005 usable"
stimuli/mosart-logprob/jobs_NEWER/outputs/all_rows_union25_manifest.md,other,583,,,pinned,exam_restricted,local-fs,stimuli-mosart-logprob-159,1-logprob,C:\Users\spenc\Downloads\jobs_NEWER\outputs\all_rows_union25_manifest.md,"the 159-model / 47-pair EXPANDED corpus; master_long.csv = 495,625 rows / 462,005 usable"
stimuli/mosart-logprob/jobs_NEWER/outputs/models_B.txt,other,273,,,pinned,exam_restricted,local-fs,stimuli-mosart-logprob-159,1-logprob,C:\Users\spenc\Downloads\jobs_NEWER\outputs\models_B.txt,"the 159-model / 47-pair EXPANDED corpus; master_long.csv = 495,625 rows / 462,005 usable"
